月份,指标,单位,多国上报数值,上报国家地区数,能源产品,能源产品中文,流量类型,流量类型中文,模型用途
2025-07,多国原油及凝析油进口,KBD,40295.2584,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-08,多国原油及凝析油进口,KBD,39978.8602,62,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-09,多国原油及凝析油进口,KBD,40517.3367,60,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-10,多国原油及凝析油进口,KBD,38982.0629,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-11,多国原油及凝析油进口,KBD,39518.4839,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-12,多国原油及凝析油进口,KBD,28716.9023,60,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2026-01,多国原油及凝析油进口,KBD,28686.2703,55,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2026-02,多国原油及凝析油进口,KBD,26746.7055,46,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-01,多国原油及凝析油出口,KBD,22534.5529,61,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-02,多国原油及凝析油出口,KBD,23377.2728,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-03,多国原油及凝析油出口,KBD,21860.4183,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-04,多国原油及凝析油出口,KBD,22045.3423,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-05,多国原油及凝析油出口,KBD,22096.748,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-06,多国原油及凝析油出口,KBD,22155.055,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-07,多国原油及凝析油出口,KBD,21935.2427,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-08,多国原油及凝析油出口,KBD,22248.5811,61,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-09,多国原油及凝析油出口,KBD,23130.4454,59,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-10,多国原油及凝析油出口,KBD,23893.332300000002,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-11,多国原油及凝析油出口,KBD,23716.2527,60,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-12,多国原油及凝析油出口,KBD,23384.3334,59,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2026-01,多国原油及凝析油出口,KBD,22648.0524,54,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2026-02,多国原油及凝析油出口,KBD,22887.2957,46,TOTCRUDE,原油及凝析油合计,TOTEXPSB,总出口,审计贸易流和替代供应能力。
2025-01,多国油品总需求,KBD,76982.6732,62,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-02,多国油品总需求,KBD,77621.5336,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-03,多国油品总需求,KBD,77527.7061,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-04,多国油品总需求,KBD,78722.836,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-05,多国油品总需求,KBD,78118.8183,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-06,多国油品总需求,KBD,79688.7201,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-07,多国油品总需求,KBD,79077.7466,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-08,多国油品总需求,KBD,78458.0698,62,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-09,多国油品总需求,KBD,79110.1069,60,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-10,多国油品总需求,KBD,77965.611,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-11,多国油品总需求,KBD,78122.1207,61,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-12,多国油品总需求,KBD,61779.2737,60,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2026-01,多国油品总需求,KBD,59970.4216,55,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2026-02,多国油品总需求,KBD,52784.434,45,TOTPRODS,油品合计,TOTDEMO,总需求,约束长期需求调整和需求弹性叙述。
2025-01,多国油品炼厂总产出,KBD,73371.522,63,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-02,多国油品炼厂总产出,KBD,72480.1922,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-03,多国油品炼厂总产出,KBD,73935.0713,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-04,多国油品炼厂总产出,KBD,72823.1412,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-05,多国油品炼厂总产出,KBD,71853.6237,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-06,多国油品炼厂总产出,KBD,75922.5599,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-07,多国油品炼厂总产出,KBD,75236.8008,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-08,多国油品炼厂总产出,KBD,75970.2235,63,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-09,多国油品炼厂总产出,KBD,74136.1434,61,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-10,多国油品炼厂总产出,KBD,71689.9213,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-11,多国油品炼厂总产出,KBD,74637.8409,62,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-12,多国油品炼厂总产出,KBD,60491.0136,61,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2026-01,多国油品炼厂总产出,KBD,58380.876099999994,56,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2026-02,多国油品炼厂总产出,KBD,54428.6556,44,TOTPRODS,油品合计,REFGROUT,炼厂总产出,审计炼厂系统对原油供应冲击的吸收能力。
2025-01,多国油品期末库存,KBBL,2018390.79,61,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-02,多国油品期末库存,KBBL,1978898.7310000001,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-03,多国油品期末库存,KBBL,1961244.362,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-04,多国油品期末库存,KBBL,1959857.48,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-05,多国油品期末库存,KBBL,1984271.382,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-06,多国油品期末库存,KBBL,1984263.888,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-07,多国油品期末库存,KBBL,1988909.98,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-08,多国油品期末库存,KBBL,2029319.3360000001,61,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-09,多国油品期末库存,KBBL,2021859.8429999999,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-10,多国油品期末库存,KBBL,1956479.875,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-11,多国油品期末库存,KBBL,1974475.513,61,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2025-12,多国油品期末库存,KBBL,1976262.347,60,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2026-01,多国油品期末库存,KBBL,1962669.0929999999,55,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
2026-02,多国油品期末库存,KBBL,1837991.049,45,TOTPRODS,油品合计,CLOSTLV,期末库存,审计成品油库存缓冲和库存耗尽风险。
